Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.02, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.03, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.05, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.07, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.08, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.10, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.12, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.14, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.15, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.17, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.19, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.20, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.22, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.24, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.25, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.27, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.29, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.30, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.32, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.34, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.36, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.37, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.39, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.41, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.42, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.44, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.46, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.48, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.49, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.51, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.53, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.54, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.56, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.58, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.59, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.61, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.63, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.64, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.66, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.68, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.70, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.71, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.73, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.75, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.76, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.78, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.80, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.81, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.83, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.85, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.86, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.88, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.90, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.91, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.93, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.95, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.97, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.98, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.00, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.02, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.03, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.05, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.07, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.09, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.10, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.12, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.14, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.15, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.17, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.19, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.20, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.22, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.24, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.26, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.27, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.29, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.31, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
