Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.02, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.03, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.05, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.07, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.08, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.10, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.12, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.13, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.15, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.17, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.18, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.20, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.22, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.24, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.25, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.27, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.29, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.30, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.32, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.34, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.35, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.37, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.39, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.41, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.42, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.44, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.46, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.47, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.49, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.51, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.52, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.54, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.56, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.57, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.59, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.61, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.62, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.64, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.66, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.67, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.69, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.71, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.72, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.74, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.76, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.77, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.79, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.81, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.82, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.84, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.86, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.87, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.89, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.91, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.93, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.94, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.96, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.98, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.99, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.01, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.03, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.04, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.06, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.08, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.09, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.11, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.13, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.15, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.17, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.18, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.20, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.22, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.23, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.25, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.27, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.28, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.30, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
