Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.02
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.05
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.07
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.09
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.10
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.12
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.14
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.15
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.17
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.19
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.21
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.22
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.24
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.26
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.27
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.29
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.31
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.32
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.34
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.36
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.37
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.39
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.41
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.42
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.44
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.46
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.48
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.49
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.51
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.53
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.54
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.56
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.58
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.60
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.61
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.63
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.65
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.66
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.68
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.70
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.71
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.73
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.75
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.77
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.78
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.80
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.82
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.83
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.85
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.87
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.88
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.90
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.92
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.93
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.95
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.97
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.98
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 2.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 2.02
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 2.03
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 2.05
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 2.07
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 2.08
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 2.10
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 2.12
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 2.13
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 2.15
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 2.17
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 2.18
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 2.20
Car X: 77.50, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 2.22
Car X: 85.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 2.23
Car X: 92.51, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 2.25
Car X: 100.01, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 2.27
Car X: 107.51, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 2.28
Car X: 115.01, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 2.30
Car X: 122.81, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 2.32
Car X: 130.31, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 2.33
Car X: 137.81, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 2.35
Car X: 145.31, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 2.37
Car X: 152.81, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 2.38
Car X: 160.31, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 2.40
Car X: 168.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 2.42
Car X: 175.50, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 2.43
Car X: 183.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 2.45
Car X: 190.50, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 2.47
Car X: 198.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 2.48
Car X: 205.51, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 2.50
Car X: 213.01, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 2.52
Car X: 220.51, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 2.53
Car X: 228.01, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 2.55
Car X: 235.51, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 2.57
Car X: 243.01, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 2.58
Car X: 250.51, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 2.60
Car X: 250.51, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 2.62
Car X: 250.51, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 2.63
Car X: 250.51, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 2.65
Car X: 250.51, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 2.67
Car X: 250.51, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 2.68
Car X: 250.51, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 2.70
Car X: 250.51, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 2.72
Car X: 250.51, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 2.73
Car X: 250.51, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 2.75
Car X: 250.51, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 2.77
Car X: 250.51, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 2.78
Car X: 250.51, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 2.80
Car X: 250.51, Car Y: 80.50, Rotation: 0.00, Floor: 0, simTime : 2.82
Car X: 250.51, Car Y: 88.00, Rotation: 0.00, Floor: 0, simTime : 2.83
Car X: 250.51, Car Y: 95.50, Rotation: 0.00, Floor: 0, simTime : 2.85
Car X: 250.51, Car Y: 103.00, Rotation: 0.00, Floor: 0, simTime : 2.87
Car X: 250.51, Car Y: 110.50, Rotation: 0.00, Floor: 0, simTime : 2.88
Car X: 250.51, Car Y: 118.00, Rotation: 0.00, Floor: 0, simTime : 2.90
Car X: 250.51, Car Y: 125.68, Rotation: 0.00, Floor: 0, simTime : 2.92
Car X: 250.51, Car Y: 125.68, Rotation: 0.00, Floor: 0, simTime : 2.94
Car X: 250.51, Car Y: 125.68, Rotation: 0.00, Floor: 0, simTime : 2.95
Car X: 250.51, Car Y: 125.68, Rotation: 0.00, Floor: 0, simTime : 2.97
Car X: 250.51, Car Y: 125.68, Rotation: 0.00, Floor: 0, simTime : 2.99
Car X: 250.51, Car Y: 125.68, Rotation: 0.00, Floor: 0, simTime : 3.00
Car X: 250.51, Car Y: 125.68, Rotation: 0.00, Floor: 0, simTime : 3.02
Car X: 250.51, Car Y: 125.68, Rotation: 0.00, Floor: 0, simTime : 3.04
Car X: 250.51, Car Y: 125.68, Rotation: 0.00, Floor: 0, simTime : 3.05
Car X: 250.51, Car Y: 125.68, Rotation: 0.00, Floor: 0, simTime : 3.07
Car X: 250.51, Car Y: 125.68, Rotation: 0.00, Floor: 0, simTime : 3.09
Car X: 250.51, Car Y: 125.68, Rotation: 0.00, Floor: 0, simTime : 3.10
Car X: 250.51, Car Y: 125.68, Rotation: 0.00, Floor: 0, simTime : 3.12
Car X: 250.51, Car Y: 125.68, Rotation: 0.00, Floor: 0, simTime : 3.14
Car X: 250.51, Car Y: 125.68, Rotation: 0.00, Floor: 0, simTime : 3.15
Car X: 250.51, Car Y: 125.68, Rotation: 0.00, Floor: 0, simTime : 3.17
Car X: 250.51, Car Y: 125.68, Rotation: 0.00, Floor: 0, simTime : 3.19
Car X: 250.51, Car Y: 125.68, Rotation: 0.00, Floor: 0, simTime : 3.20
Car X: 250.51, Car Y: 125.68, Rotation: 0.00, Floor: 0, simTime : 3.22
Car X: 243.01, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 3.24
Car X: 235.51, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 3.25
Car X: 228.01, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 3.27
Car X: 220.51, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 3.29
Car X: 213.01, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 3.30
Car X: 205.51, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 3.32
Car X: 198.01, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 3.34
Car X: 198.01, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 3.35
Car X: 198.01, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 3.37
Car X: 198.01, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 3.39
Car X: 198.01, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 3.40
Car X: 198.01, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 3.42
Car X: 198.01, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 3.44
Car X: 198.01, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 3.45
Car X: 198.01, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 3.47
Car X: 198.01, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 3.49
Car X: 198.01, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 3.50
Car X: 198.01, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 3.52
Car X: 198.01, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 3.54
Car X: 198.01, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 3.55
Car X: 198.01, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 3.57
Car X: 198.01, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 3.59
Car X: 198.01, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 3.60
Car X: 198.01, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 3.62
Car X: 198.01, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 3.64
Car X: 198.01, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 3.65
Car X: 198.01, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 3.67
Car X: 198.01, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 3.69
Car X: 198.01, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 3.70
Car X: 198.01, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 3.72
Car X: 198.01, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 3.74
Car X: 198.01, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 3.76
Car X: 198.01, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 3.77
Car X: 198.01, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 3.79
Car X: 198.01, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 3.81
Car X: 198.01, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 3.82
Car X: 198.01, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 3.84
Car X: 198.01, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 3.86
Car X: 198.01, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 3.87
Car X: 198.01, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 3.89
Car X: 198.01, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 3.91
Car X: 198.01, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 3.92
Car X: 198.01, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 3.94
Car X: 190.51, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 3.96
Car X: 183.01, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 3.97
Car X: 175.51, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 3.99
Car X: 168.01, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 4.01
Car X: 160.51, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 4.02
Car X: 153.01, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 4.04
Car X: 145.51, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 4.06
Car X: 138.01, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 4.07
Car X: 138.01, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 4.09
Car X: 138.01, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 4.11
Car X: 138.01, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 4.12
Car X: 138.01, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 4.14
Car X: 138.01, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 4.16
Car X: 138.01, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 4.17
Car X: 138.01, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 4.19
Car X: 138.01, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 4.21
Car X: 138.01, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 4.22
Car X: 138.01, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 4.24
Car X: 138.01, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 4.26
Car X: 138.01, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 4.28
Car X: 138.01, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 4.29
Car X: 130.50, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 4.31
Car X: 123.00, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 4.33
Car X: 115.50, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 4.34
Car X: 108.00, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 4.36
Car X: 100.32, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 4.38
Car X: 92.82, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 4.39
Car X: 85.31, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 4.41
Car X: 77.81, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 4.43
Car X: 70.31, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 4.44
Car X: 62.81, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 4.46
Car X: 62.81, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 4.48
Car X: 62.81, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 4.49
Car X: 62.81, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 4.51
Car X: 62.81, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 4.53
Car X: 62.81, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 4.54
Car X: 62.81, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 4.56
Car X: 62.81, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 4.58
Car X: 62.81, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 4.59
Car X: 62.81, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 4.61
Car X: 62.81, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 4.63
Car X: 62.81, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 4.64
Car X: 62.81, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 4.66
Car X: 62.81, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 4.68
Car X: 62.81, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 4.70
Car X: 62.81, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 4.71
Car X: 62.81, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 4.73
Car X: 62.81, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 4.75
Car X: 62.81, Car Y: 125.68, Rotation: 90.00, Floor: 0, simTime : 4.76
Car X: 62.81, Car Y: 133.18, Rotation: 0.00, Floor: 0, simTime : 4.78
Car X: 62.81, Car Y: 141.36, Rotation: 0.00, Floor: 0, simTime : 4.80
Car X: 62.81, Car Y: 148.86, Rotation: 0.00, Floor: 0, simTime : 4.82
Car X: 62.81, Car Y: 156.36, Rotation: 0.00, Floor: 0, simTime : 4.83
Car X: 62.81, Car Y: 163.86, Rotation: 0.00, Floor: 0, simTime : 4.85
Car X: 62.81, Car Y: 171.36, Rotation: 0.00, Floor: 0, simTime : 4.87
Car X: 62.81, Car Y: 178.86, Rotation: 0.00, Floor: 0, simTime : 4.88
Car X: 62.81, Car Y: 186.36, Rotation: 0.00, Floor: 0, simTime : 4.90
Car X: 62.81, Car Y: 193.86, Rotation: 0.00, Floor: 0, simTime : 4.92
Car X: 62.81, Car Y: 201.36, Rotation: 0.00, Floor: 0, simTime : 4.93
Car X: 62.81, Car Y: 208.87, Rotation: 0.00, Floor: 0, simTime : 4.95
Car X: 62.81, Car Y: 208.87, Rotation: 0.00, Floor: 0, simTime : 4.97
Car X: 62.81, Car Y: 208.87, Rotation: 0.00, Floor: 0, simTime : 4.98
Car X: 62.81, Car Y: 208.87, Rotation: 0.00, Floor: 0, simTime : 5.00
Car X: 62.81, Car Y: 208.87, Rotation: 0.00, Floor: 0, simTime : 5.02
Car X: 62.81, Car Y: 208.87, Rotation: 0.00, Floor: 0, simTime : 5.03
Car X: 62.81, Car Y: 208.87, Rotation: 0.00, Floor: 0, simTime : 5.05
Car X: 62.81, Car Y: 208.87, Rotation: 0.00, Floor: 0, simTime : 5.07
Car X: 62.81, Car Y: 208.87, Rotation: 0.00, Floor: 0, simTime : 5.08
Car X: 62.81, Car Y: 208.87, Rotation: 0.00, Floor: 0, simTime : 5.10
Car X: 62.81, Car Y: 208.87, Rotation: 0.00, Floor: 0, simTime : 5.12
Car X: 62.81, Car Y: 216.37, Rotation: 0.00, Floor: 0, simTime : 5.13
Car X: 62.81, Car Y: 223.87, Rotation: 0.00, Floor: 0, simTime : 5.15
Car X: 62.81, Car Y: 231.37, Rotation: 0.00, Floor: 0, simTime : 5.17
Car X: 62.81, Car Y: 238.87, Rotation: 0.00, Floor: 0, simTime : 5.18
Car X: 62.81, Car Y: 246.37, Rotation: 0.00, Floor: 0, simTime : 5.20
