Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.02
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.03
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.05
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.07
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.09
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.10
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.12
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.14
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.15
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.17
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.19
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.20
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.22
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.24
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.25
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.27
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.29
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.30
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.32
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.34
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.35
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.37
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.39
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.40
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.42
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.44
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.45
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.47
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.49
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.50
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.52
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.54
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.55
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.57
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.59
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.60
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.62
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.64
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.65
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.67
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.69
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.70
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.72
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.74
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.75
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.77
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.79
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.80
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.82
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.84
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.85
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.87
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.89
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.90
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.92
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.94
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.95
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.97
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 0.99
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.00
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.02
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.04
