Car X: 151.28, Car Y: 385.91, Rotation: 0.00, Floor: 2, simTime : 16.91
Car X: 151.28, Car Y: 391.75, Rotation: 0.00, Floor: 2, simTime : 16.92
Car X: 151.28, Car Y: 397.58, Rotation: 0.00, Floor: 2, simTime : 16.94
Car X: 151.28, Car Y: 397.58, Rotation: 0.00, Floor: 2, simTime : 16.96
Car X: 151.28, Car Y: 397.58, Rotation: 0.00, Floor: 2, simTime : 16.97
Car X: 151.28, Car Y: 397.58, Rotation: 0.00, Floor: 2, simTime : 16.99
Car X: 151.28, Car Y: 397.58, Rotation: 0.00, Floor: 2, simTime : 17.01
Car X: 151.28, Car Y: 397.58, Rotation: 0.00, Floor: 2, simTime : 17.02
Car X: 151.28, Car Y: 397.58, Rotation: 0.00, Floor: 2, simTime : 17.04
Car X: 151.28, Car Y: 397.58, Rotation: 0.00, Floor: 2, simTime : 17.06
Car X: 151.28, Car Y: 397.58, Rotation: 0.00, Floor: 2, simTime : 17.08
Car X: 151.28, Car Y: 397.58, Rotation: 0.00, Floor: 2, simTime : 17.09
Car X: 151.28, Car Y: 397.58, Rotation: 0.00, Floor: 2, simTime : 17.11
Car X: 151.28, Car Y: 397.58, Rotation: 0.00, Floor: 2, simTime : 17.13
Car X: 151.28, Car Y: 397.58, Rotation: 0.00, Floor: 2, simTime : 17.14
Car X: 151.28, Car Y: 397.58, Rotation: 0.00, Floor: 2, simTime : 17.16
Car X: 151.28, Car Y: 397.58, Rotation: 0.00, Floor: 2, simTime : 17.18
Car X: 151.28, Car Y: 403.42, Rotation: 0.00, Floor: 2, simTime : 17.19
Car X: 151.28, Car Y: 409.25, Rotation: 0.00, Floor: 2, simTime : 17.21
Car X: 151.28, Car Y: 415.08, Rotation: 0.00, Floor: 2, simTime : 17.23
Car X: 151.28, Car Y: 420.92, Rotation: 0.00, Floor: 2, simTime : 17.24
Car X: 151.28, Car Y: 426.75, Rotation: 0.00, Floor: 2, simTime : 17.26
Car X: 151.28, Car Y: 432.58, Rotation: 0.00, Floor: 2, simTime : 17.28
Car X: 151.28, Car Y: 438.42, Rotation: 0.00, Floor: 2, simTime : 17.29
Car X: 151.28, Car Y: 444.25, Rotation: 0.00, Floor: 2, simTime : 17.31
Car X: 151.28, Car Y: 450.09, Rotation: 0.00, Floor: 2, simTime : 17.33
Car X: 151.28, Car Y: 455.92, Rotation: 0.00, Floor: 2, simTime : 17.34
Car X: 151.28, Car Y: 455.92, Rotation: 0.00, Floor: 2, simTime : 17.36
Car X: 151.28, Car Y: 455.92, Rotation: 0.00, Floor: 2, simTime : 17.38
Car X: 151.28, Car Y: 455.92, Rotation: 0.00, Floor: 2, simTime : 17.39
Car X: 151.28, Car Y: 455.92, Rotation: 0.00, Floor: 2, simTime : 17.41
Car X: 151.28, Car Y: 455.92, Rotation: 0.00, Floor: 2, simTime : 17.43
Car X: 151.28, Car Y: 455.92, Rotation: 0.00, Floor: 2, simTime : 17.44
Car X: 151.28, Car Y: 455.92, Rotation: 0.00, Floor: 2, simTime : 17.46
Car X: 151.28, Car Y: 455.92, Rotation: 0.00, Floor: 2, simTime : 17.48
Car X: 151.28, Car Y: 455.92, Rotation: 0.00, Floor: 2, simTime : 17.49
Car X: 151.28, Car Y: 455.92, Rotation: 0.00, Floor: 2, simTime : 17.51
Car X: 151.28, Car Y: 455.92, Rotation: 0.00, Floor: 2, simTime : 17.53
Car X: 151.28, Car Y: 455.92, Rotation: 0.00, Floor: 2, simTime : 17.54
Car X: 151.28, Car Y: 455.92, Rotation: 0.00, Floor: 2, simTime : 17.56
Car X: 151.28, Car Y: 455.92, Rotation: 0.00, Floor: 2, simTime : 17.58
Car X: 151.28, Car Y: 455.92, Rotation: 0.00, Floor: 2, simTime : 17.59
Car X: 151.28, Car Y: 455.92, Rotation: 0.00, Floor: 2, simTime : 17.61
Car X: 151.28, Car Y: 455.92, Rotation: 0.00, Floor: 2, simTime : 17.63
Car X: 151.28, Car Y: 455.92, Rotation: 0.00, Floor: 2, simTime : 17.65
Car X: 151.28, Car Y: 461.75, Rotation: 0.00, Floor: 2, simTime : 17.66
Car X: 151.28, Car Y: 467.59, Rotation: 0.00, Floor: 2, simTime : 17.68
Car X: 151.28, Car Y: 473.42, Rotation: 0.00, Floor: 2, simTime : 17.70
Car X: 151.28, Car Y: 479.34, Rotation: 0.00, Floor: 2, simTime : 17.71
Car X: 151.28, Car Y: 485.17, Rotation: 0.00, Floor: 2, simTime : 17.73
Car X: 151.28, Car Y: 491.01, Rotation: 0.00, Floor: 2, simTime : 17.75
Car X: 151.28, Car Y: 496.84, Rotation: 0.00, Floor: 2, simTime : 17.76
Car X: 151.28, Car Y: 496.84, Rotation: 0.00, Floor: 2, simTime : 17.78
Car X: 151.28, Car Y: 496.84, Rotation: 0.00, Floor: 2, simTime : 17.80
Car X: 151.28, Car Y: 496.84, Rotation: 0.00, Floor: 2, simTime : 17.81
Car X: 151.28, Car Y: 496.84, Rotation: 0.00, Floor: 2, simTime : 17.83
Car X: 151.28, Car Y: 496.84, Rotation: 0.00, Floor: 2, simTime : 17.85
Car X: 151.28, Car Y: 496.84, Rotation: 0.00, Floor: 2, simTime : 17.86
Car X: 151.28, Car Y: 496.84, Rotation: 0.00, Floor: 2, simTime : 17.88
Car X: 151.28, Car Y: 496.84, Rotation: 0.00, Floor: 2, simTime : 17.90
Car X: 151.28, Car Y: 496.84, Rotation: 0.00, Floor: 2, simTime : 17.91
Car X: 145.45, Car Y: 496.84, Rotation: 90.00, Floor: 2, simTime : 17.93
Car X: 139.61, Car Y: 496.84, Rotation: 90.00, Floor: 2, simTime : 17.95
Car X: 133.78, Car Y: 496.84, Rotation: 90.00, Floor: 2, simTime : 17.96
Car X: 127.94, Car Y: 496.84, Rotation: 90.00, Floor: 2, simTime : 17.98
Car X: 122.11, Car Y: 496.84, Rotation: 90.00, Floor: 2, simTime : 18.00
Car X: 116.28, Car Y: 496.84, Rotation: 90.00, Floor: 2, simTime : 18.01
Car X: 110.44, Car Y: 496.84, Rotation: 90.00, Floor: 2, simTime : 18.03
Car X: 104.61, Car Y: 496.84, Rotation: 90.00, Floor: 2, simTime : 18.05
Car X: 98.78, Car Y: 496.84, Rotation: 90.00, Floor: 2, simTime : 18.06
Car X: 92.94, Car Y: 496.84, Rotation: 90.00, Floor: 2, simTime : 18.08
Car X: 87.11, Car Y: 496.84, Rotation: 90.00, Floor: 2, simTime : 18.10
Car X: 81.27, Car Y: 496.84, Rotation: 90.00, Floor: 2, simTime : 18.11
Car X: 75.44, Car Y: 496.84, Rotation: 90.00, Floor: 2, simTime : 18.13
Car X: 69.60, Car Y: 496.84, Rotation: 90.00, Floor: 2, simTime : 18.15
Car X: 63.77, Car Y: 496.84, Rotation: 90.00, Floor: 2, simTime : 18.16
Car X: 57.93, Car Y: 496.84, Rotation: 90.00, Floor: 2, simTime : 18.18
Car X: 52.10, Car Y: 496.84, Rotation: 90.00, Floor: 2, simTime : 18.20
Car X: 45.55, Car Y: 496.84, Rotation: 90.00, Floor: 2, simTime : 18.22
Car X: 39.71, Car Y: 496.84, Rotation: 90.00, Floor: 2, simTime : 18.23
Car X: 33.88, Car Y: 496.84, Rotation: 90.00, Floor: 2, simTime : 18.25
Car X: 28.05, Car Y: 496.84, Rotation: 90.00, Floor: 2, simTime : 18.27
Car X: 22.21, Car Y: 496.84, Rotation: 90.00, Floor: 2, simTime : 18.28
