Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 0.63, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 0.65, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 0.66, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 0.68, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 0.70, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 0.71, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 0.73, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 0.75, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 0.76, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 0.78, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 0.80, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 0.82, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 0.84, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 0.85, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 0.87, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 0.89, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 0.91, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 0.92, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 0.94, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 0.96, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 0.98, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 1.00, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 1.01, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 1.03, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 1.05, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 1.07, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 1.08, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 1.10, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 1.12, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 1.13, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 1.15, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 1.17, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 1.18, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 1.20, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 1.22, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 1.23, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 1.25, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 1.27, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 1.28, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 1.30, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 1.32, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 1.34, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 1.35, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 1.37, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 1.39, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 1.41, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 1.43, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 1.45, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 1.46, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 1.48, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 1.50, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 1.52, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 1.53, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 1.55, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 1.57, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 401.58, Car Y: 271.73, Rotation: 0.00, Floor: 1, simTime : 1.58, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
