Car X: 371.86, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 5.13
Car X: 371.86, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 5.15
Car X: 371.86, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 5.17
Car X: 371.86, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 5.18
Car X: 371.86, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 5.20
Car X: 371.86, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 5.22
Car X: 371.86, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 5.23
Car X: 371.86, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 5.25
Car X: 371.86, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 5.27
Car X: 371.86, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 5.28
Car X: 371.86, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 5.30
Car X: 371.86, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 5.32
Car X: 371.86, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 5.33
Car X: 371.86, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 5.35
Car X: 371.86, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 5.37
Car X: 371.86, Car Y: 80.50, Rotation: 0.00, Floor: 0, simTime : 5.38
Car X: 371.86, Car Y: 88.00, Rotation: 0.00, Floor: 0, simTime : 5.40
Car X: 371.86, Car Y: 95.50, Rotation: 0.00, Floor: 0, simTime : 5.42
Car X: 371.86, Car Y: 103.00, Rotation: 0.00, Floor: 0, simTime : 5.43
Car X: 371.86, Car Y: 110.52, Rotation: 0.00, Floor: 0, simTime : 5.45
Car X: 371.86, Car Y: 118.04, Rotation: 0.00, Floor: 0, simTime : 5.47
Car X: 371.86, Car Y: 125.54, Rotation: 0.00, Floor: 0, simTime : 5.48
Car X: 371.86, Car Y: 133.04, Rotation: 0.00, Floor: 0, simTime : 5.50
Car X: 371.86, Car Y: 140.56, Rotation: 0.00, Floor: 0, simTime : 5.52
Car X: 371.86, Car Y: 148.06, Rotation: 0.00, Floor: 0, simTime : 5.53
Car X: 371.86, Car Y: 148.06, Rotation: 0.00, Floor: 0, simTime : 5.55
Car X: 371.86, Car Y: 148.06, Rotation: 0.00, Floor: 0, simTime : 5.57
Car X: 371.86, Car Y: 148.06, Rotation: 0.00, Floor: 0, simTime : 5.58
Car X: 371.86, Car Y: 148.06, Rotation: 0.00, Floor: 0, simTime : 5.60
Car X: 371.86, Car Y: 148.06, Rotation: 0.00, Floor: 0, simTime : 5.62
Car X: 371.86, Car Y: 148.06, Rotation: 0.00, Floor: 0, simTime : 5.63
Car X: 371.86, Car Y: 148.06, Rotation: 0.00, Floor: 0, simTime : 5.65
Car X: 371.86, Car Y: 148.06, Rotation: 0.00, Floor: 0, simTime : 5.67
Car X: 371.86, Car Y: 148.06, Rotation: 0.00, Floor: 0, simTime : 5.68
Car X: 371.86, Car Y: 148.06, Rotation: 0.00, Floor: 0, simTime : 5.70
Car X: 371.86, Car Y: 148.06, Rotation: 0.00, Floor: 0, simTime : 5.72
Car X: 371.86, Car Y: 148.06, Rotation: 0.00, Floor: 0, simTime : 5.73
Car X: 371.86, Car Y: 148.06, Rotation: 0.00, Floor: 0, simTime : 5.75
Car X: 371.86, Car Y: 148.06, Rotation: 0.00, Floor: 0, simTime : 5.77
Car X: 371.86, Car Y: 148.06, Rotation: 0.00, Floor: 0, simTime : 5.78
Car X: 371.86, Car Y: 148.06, Rotation: 0.00, Floor: 0, simTime : 5.80
Car X: 371.86, Car Y: 148.06, Rotation: 0.00, Floor: 0, simTime : 5.82
Car X: 371.86, Car Y: 148.06, Rotation: 0.00, Floor: 0, simTime : 5.83
Car X: 371.86, Car Y: 148.06, Rotation: 0.00, Floor: 0, simTime : 5.85
Car X: 371.86, Car Y: 156.40, Rotation: 0.00, Floor: 0, simTime : 5.87
Car X: 371.86, Car Y: 163.90, Rotation: 0.00, Floor: 0, simTime : 5.89
Car X: 371.86, Car Y: 171.40, Rotation: 0.00, Floor: 0, simTime : 5.90
Car X: 371.86, Car Y: 178.90, Rotation: 0.00, Floor: 0, simTime : 5.92
Car X: 371.86, Car Y: 186.40, Rotation: 0.00, Floor: 0, simTime : 5.94
Car X: 371.86, Car Y: 193.90, Rotation: 0.00, Floor: 0, simTime : 5.95
Car X: 371.86, Car Y: 201.40, Rotation: 0.00, Floor: 0, simTime : 5.97
Car X: 371.86, Car Y: 208.90, Rotation: 0.00, Floor: 0, simTime : 5.99
Car X: 371.86, Car Y: 208.90, Rotation: 0.00, Floor: 0, simTime : 6.00
Car X: 371.86, Car Y: 208.90, Rotation: 0.00, Floor: 0, simTime : 6.02
Car X: 371.86, Car Y: 208.90, Rotation: 0.00, Floor: 0, simTime : 6.04
Car X: 371.86, Car Y: 208.90, Rotation: 0.00, Floor: 0, simTime : 6.05
Car X: 371.86, Car Y: 208.90, Rotation: 0.00, Floor: 0, simTime : 6.07
Car X: 371.86, Car Y: 208.90, Rotation: 0.00, Floor: 0, simTime : 6.09
Car X: 371.86, Car Y: 208.90, Rotation: 0.00, Floor: 0, simTime : 6.10
Car X: 371.86, Car Y: 208.90, Rotation: 0.00, Floor: 0, simTime : 6.12
Car X: 371.86, Car Y: 208.90, Rotation: 0.00, Floor: 0, simTime : 6.14
Car X: 371.86, Car Y: 208.90, Rotation: 0.00, Floor: 0, simTime : 6.15
Car X: 371.86, Car Y: 208.90, Rotation: 0.00, Floor: 0, simTime : 6.17
Car X: 371.86, Car Y: 208.90, Rotation: 0.00, Floor: 0, simTime : 6.19
Car X: 371.86, Car Y: 208.90, Rotation: 0.00, Floor: 0, simTime : 6.21
Car X: 371.86, Car Y: 208.90, Rotation: 0.00, Floor: 0, simTime : 6.22
Car X: 371.86, Car Y: 208.90, Rotation: 0.00, Floor: 0, simTime : 6.24
Car X: 371.86, Car Y: 208.90, Rotation: 0.00, Floor: 0, simTime : 6.26
Car X: 371.86, Car Y: 208.90, Rotation: 0.00, Floor: 0, simTime : 6.27
Car X: 371.86, Car Y: 208.90, Rotation: 0.00, Floor: 0, simTime : 6.29
Car X: 371.86, Car Y: 208.90, Rotation: 0.00, Floor: 0, simTime : 6.31
Car X: 371.86, Car Y: 208.90, Rotation: 0.00, Floor: 0, simTime : 6.32
Car X: 371.86, Car Y: 208.90, Rotation: 0.00, Floor: 0, simTime : 6.34
Car X: 371.86, Car Y: 208.90, Rotation: 0.00, Floor: 0, simTime : 6.36
Car X: 371.86, Car Y: 208.90, Rotation: 0.00, Floor: 0, simTime : 6.37
Car X: 371.86, Car Y: 208.90, Rotation: 0.00, Floor: 0, simTime : 6.39
Car X: 371.86, Car Y: 208.90, Rotation: 0.00, Floor: 0, simTime : 6.41
Car X: 371.86, Car Y: 208.90, Rotation: 0.00, Floor: 0, simTime : 6.42
Car X: 371.86, Car Y: 208.90, Rotation: 0.00, Floor: 0, simTime : 6.44
Car X: 371.86, Car Y: 208.90, Rotation: 0.00, Floor: 0, simTime : 6.46
Car X: 371.86, Car Y: 208.90, Rotation: 0.00, Floor: 0, simTime : 6.47
Car X: 371.86, Car Y: 208.90, Rotation: 0.00, Floor: 0, simTime : 6.49
Car X: 363.67, Car Y: 208.90, Rotation: 90.00, Floor: 0, simTime : 6.51
Car X: 355.57, Car Y: 208.90, Rotation: 90.00, Floor: 0, simTime : 6.53
Car X: 348.07, Car Y: 208.90, Rotation: 90.00, Floor: 0, simTime : 6.54
Car X: 340.57, Car Y: 208.90, Rotation: 90.00, Floor: 0, simTime : 6.56
