Car X: 95.86, Car Y: 75.00, Rotation: -90.00, Floor: 1, simTime : 6.11, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 75.00, Rotation: -90.00, Floor: 1, simTime : 6.12, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 75.00, Rotation: -90.00, Floor: 1, simTime : 6.14, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 75.00, Rotation: -90.00, Floor: 1, simTime : 6.16, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 75.00, Rotation: -90.00, Floor: 1, simTime : 6.18, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 75.00, Rotation: -90.00, Floor: 1, simTime : 6.19, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 75.00, Rotation: -90.00, Floor: 1, simTime : 6.21, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 75.00, Rotation: -90.00, Floor: 1, simTime : 6.23, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 75.00, Rotation: -90.00, Floor: 1, simTime : 6.24, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 75.00, Rotation: -90.00, Floor: 1, simTime : 6.26, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 75.00, Rotation: -90.00, Floor: 1, simTime : 6.28, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 75.00, Rotation: -90.00, Floor: 1, simTime : 6.29, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 75.00, Rotation: -90.00, Floor: 1, simTime : 6.31, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 75.00, Rotation: -90.00, Floor: 1, simTime : 6.33, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 75.00, Rotation: -90.00, Floor: 1, simTime : 6.34, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 75.00, Rotation: -90.00, Floor: 1, simTime : 6.36, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 75.00, Rotation: -90.00, Floor: 1, simTime : 6.38, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 75.00, Rotation: -90.00, Floor: 1, simTime : 6.39, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 75.00, Rotation: -90.00, Floor: 1, simTime : 6.41, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 75.00, Rotation: -90.00, Floor: 1, simTime : 6.43, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 75.00, Rotation: -90.00, Floor: 1, simTime : 6.44, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 75.00, Rotation: -90.00, Floor: 1, simTime : 6.46, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 75.00, Rotation: -90.00, Floor: 1, simTime : 6.48, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 75.00, Rotation: -90.00, Floor: 1, simTime : 6.49, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 75.00, Rotation: -90.00, Floor: 1, simTime : 6.51, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 75.00, Rotation: -90.00, Floor: 1, simTime : 6.53, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 75.00, Rotation: -90.00, Floor: 1, simTime : 6.54, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 75.00, Rotation: -90.00, Floor: 1, simTime : 6.56, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 75.00, Rotation: -90.00, Floor: 1, simTime : 6.58, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 75.00, Rotation: -90.00, Floor: 1, simTime : 6.59, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 75.00, Rotation: -90.00, Floor: 1, simTime : 6.61, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 75.00, Rotation: -90.00, Floor: 1, simTime : 6.63, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 75.00, Rotation: -90.00, Floor: 1, simTime : 6.64, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 75.00, Rotation: -90.00, Floor: 1, simTime : 6.66, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 75.00, Rotation: -90.00, Floor: 1, simTime : 6.68, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 75.00, Rotation: -90.00, Floor: 1, simTime : 6.69, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 75.00, Rotation: -90.00, Floor: 1, simTime : 6.71, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 75.00, Rotation: -90.00, Floor: 1, simTime : 6.73, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 75.00, Rotation: -90.00, Floor: 1, simTime : 6.74, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 75.00, Rotation: -90.00, Floor: 1, simTime : 6.76, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 75.00, Rotation: -90.00, Floor: 1, simTime : 6.78, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 75.00, Rotation: -90.00, Floor: 1, simTime : 6.79, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
