Car X: 37.47, Car Y: 501.23, Rotation: 90.00, Floor: 1, simTime : 14.43, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 31.63, Car Y: 501.23, Rotation: 90.00, Floor: 1, simTime : 14.45, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 25.80, Car Y: 501.23, Rotation: 90.00, Floor: 1, simTime : 14.47, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 710.00, Car Y: 75.00, Rotation: 90.00, Floor: 0, simTime : 14.48, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 704.17, Car Y: 75.00, Rotation: 90.00, Floor: 0, simTime : 14.50, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 698.33, Car Y: 75.00, Rotation: 90.00, Floor: 0, simTime : 14.52, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 692.43, Car Y: 75.00, Rotation: 90.00, Floor: 0, simTime : 14.53, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 686.59, Car Y: 75.00, Rotation: 90.00, Floor: 0, simTime : 14.55, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 686.59, Car Y: 75.00, Rotation: 90.00, Floor: 0, simTime : 14.57, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 686.59, Car Y: 75.00, Rotation: 90.00, Floor: 0, simTime : 14.58, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 686.59, Car Y: 75.00, Rotation: 90.00, Floor: 0, simTime : 14.60, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 686.59, Car Y: 75.00, Rotation: 90.00, Floor: 0, simTime : 14.62, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 686.59, Car Y: 75.00, Rotation: 90.00, Floor: 0, simTime : 14.63, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 686.59, Car Y: 75.00, Rotation: 90.00, Floor: 0, simTime : 14.65, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 686.59, Car Y: 75.00, Rotation: 90.00, Floor: 0, simTime : 14.67, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 686.59, Car Y: 75.00, Rotation: 90.00, Floor: 0, simTime : 14.68, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 686.59, Car Y: 75.00, Rotation: 90.00, Floor: 0, simTime : 14.70, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 686.59, Car Y: 75.00, Rotation: 90.00, Floor: 0, simTime : 14.72, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 686.59, Car Y: 75.00, Rotation: 90.00, Floor: 0, simTime : 14.73, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 686.59, Car Y: 75.00, Rotation: 90.00, Floor: 0, simTime : 14.75, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 686.59, Car Y: 75.00, Rotation: 90.00, Floor: 0, simTime : 14.77, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 686.59, Car Y: 75.00, Rotation: 90.00, Floor: 0, simTime : 14.78, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 686.59, Car Y: 75.00, Rotation: 90.00, Floor: 0, simTime : 14.80, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 686.59, Car Y: 75.00, Rotation: 90.00, Floor: 0, simTime : 14.82, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 686.59, Car Y: 75.00, Rotation: 90.00, Floor: 0, simTime : 14.83, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 686.59, Car Y: 75.00, Rotation: 90.00, Floor: 0, simTime : 14.85, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 686.59, Car Y: 75.00, Rotation: 90.00, Floor: 0, simTime : 14.87, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
